RipperProgressDialog.java; net.sourceforge.atunes.gui.views.dialogs;
EditTagDialog.java; net.sourceforge.atunes.gui.views.dialogs;
EqualizerDialog.java; net.sourceforge.atunes.gui.views.dialogs;
RipCdDialog.java; net.sourceforge.atunes.gui.views.dialogs;
FontChooserDialog.java; net.sourceforge.atunes.gui.views.dialogs;
GeneralPanel.java; net.sourceforge.atunes.gui.views.dialogs.editPreferences;
ContextPanel.java; net.sourceforge.atunes.gui.views.dialogs.editPreferences;
InternetPanel.java; net.sourceforge.atunes.gui.views.dialogs.editPreferences;
DevicePanel.java; net.sourceforge.atunes.gui.views.dialogs.editPreferences;
ImportExportPanel.java; net.sourceforge.atunes.gui.views.dialogs.editPreferences;
PluginsPanel.java; net.sourceforge.atunes.gui.views.dialogs.editPreferences;
FullScreenWindow.java; net.sourceforge.atunes.gui.views.dialogs.fullScreen;
PlayListControlsPanel.java; net.sourceforge.atunes.gui.views.panels;
Cdda2wav.java; net.sourceforge.atunes.kernel.modules.cdripper.cdda2wav;
ImageInfo.java; net.sourceforge.atunes.kernel.modules.repository.tags.tag;
