SimpleLogger.java: org.slf4j.impl
RemoveUrlCommand.java: org.apache.felix.karaf.features.command
StandardEmitterMBean.java: org.apache.felix.karaf.features.management.internal
ProxyLoginModule.java: org.apache.felix.karaf.jaas.boot
Bootstrap.java: org.apache.felix.karaf.main
LogoutAction.java: org.apache.felix.karaf.shell.commands
NoInterruptUnixTerminal.java: jline
TerminalFactory.java: org.apache.felix.karaf.shell.console.jline
Context.java: org.apache.felix.gogo.commands
LogLevelCompleter.java: org.apache.felix.karaf.shell.log.completers
DeployCommand.java: org.apache.felix.karaf.shell.obr
AddUrlCommand.java: org.apache.felix.karaf.shell.obr
RemoveUrlCommand.java: org.apache.felix.karaf.shell.obr
StartCommand.java: org.apache.felix.karaf.shell.obr
StartBundle.java: org.apache.felix.karaf.shell.osgi
UninstallBundle.java: org.apache.felix.karaf.shell.osgi
StopBundle.java: org.apache.felix.karaf.shell.osgi
SpringStateListenerFactory.java: org.apache.felix.karaf.shell.osgi
ExtendedFeature.java: org.apache.felix.karaf.webconsole.features
