ServerConnection.java: org.apache.qpid.server.transport	Connection.java: org.apache.qpid.jms	
ServerSessionDelegate.java: org.apache.qpid.server.transport	SessionDelegate.java: org.apache.qpid.transport	
Dump.java: org.apache.qpid.tools.messagestore.commands	Show.java: org.apache.qpid.tools.messagestore.commands	
Purge.java: org.apache.qpid.tools.messagestore.commands	Move.java: org.apache.qpid.tools.messagestore.commands	
Copy.java: org.apache.qpid.tools.messagestore.commands	Move.java: org.apache.qpid.tools.messagestore.commands	
AMQBrokerManagerMBeanTest.java: org.apache.qpid.server	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
AcknowledgeTest.java: org.apache.qpid.server.ack	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
VirtualHostConfigurationTest.java: org.apache.qpid.server.configuration	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
ServerConfigurationTest.java: org.apache.qpid.server.configuration	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
TopicConfigurationTest.java: org.apache.qpid.server.configuration	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
ConfigurationPluginTest.java: org.apache.qpid.server.configuration.plugins	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
TopicExchangeTest.java: org.apache.qpid.server.exchange	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
AbstractHeadersExchangeTestBase.java: org.apache.qpid.server.exchange	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
HeadersExchangeTest.java: org.apache.qpid.server.exchange	AbstractHeadersExchangeTestBase.java: org.apache.qpid.server.exchange	
ExchangeMBeanTest.java: org.apache.qpid.server.exchange	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
BaseConnectionActorTestCase.java: org.apache.qpid.server.logging.actors	BaseActorTestCase.java: org.apache.qpid.server.logging.actors	
QueueActorTest.java: org.apache.qpid.server.logging.actors	BaseConnectionActorTestCase.java: org.apache.qpid.server.logging.actors	
SubscriptionActorTest.java: org.apache.qpid.server.logging.actors	BaseConnectionActorTestCase.java: org.apache.qpid.server.logging.actors	
BaseActorTestCase.java: org.apache.qpid.server.logging.actors	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
AMQPConnectionActorTest.java: org.apache.qpid.server.logging.actors	BaseConnectionActorTestCase.java: org.apache.qpid.server.logging.actors	
CurrentActorTest.java: org.apache.qpid.server.logging.actors	BaseConnectionActorTestCase.java: org.apache.qpid.server.logging.actors	
AMQPChannelActorTest.java: org.apache.qpid.server.logging.actors	BaseConnectionActorTestCase.java: org.apache.qpid.server.logging.actors	
ManagementActorTest.java: org.apache.qpid.server.logging.actors	BaseActorTestCase.java: org.apache.qpid.server.logging.actors	
LoggingManagementMBeanTest.java: org.apache.qpid.server.logging.management	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
AbstractTestMessages.java: org.apache.qpid.server.logging.messages	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
AbstractTestLogSubject.java: org.apache.qpid.server.logging.subjects	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
ChannelLogSubjectTest.java: org.apache.qpid.server.logging.subjects	ConnectionLogSubjectTest.java: org.apache.qpid.server.logging.subjects	
AMQUserManagementMBeanTest.java: org.apache.qpid.server.management	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
PluginTest.java: org.apache.qpid.server.plugins	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
MockPluginManager.java: org.apache.qpid.server.plugins	PluginManager.java: org.apache.qpid.server.plugins	
