QueueTuple_5.java: org.apache.qpid.server.store.berkeleydb.tuples	QueueTuple_4.java: org.apache.qpid.server.store.berkeleydb.tuples	
BackupTestClient.java: org.apache.qpid.server.store.berkeleydb.testclient	PingDurableClient.java: org.apache.qpid.ping	
ExchangeInUseException.java: org.apache.qpid.server.exchange	AMQException.java: org.apache.qpid	
UnexpectedMethodException.java: org.apache.qpid.server.handler	AMQException.java: org.apache.qpid	
AMQNoMethodHandlerException.java: org.apache.qpid.server.protocol	AMQException.java: org.apache.qpid	
ProtocolEngine_0_10.java: org.apache.qpid.server.protocol	InputHandler.java: org.apache.qpid.transport.network	
ConflationQueueList.java: org.apache.qpid.server.queue	SimpleQueueEntryList.java: org.apache.qpid.server.queue	
FailedDequeueException.java: org.apache.qpid.server.queue	AMQException.java: org.apache.qpid	
MessageCleanupException.java: org.apache.qpid.server.queue	AMQException.java: org.apache.qpid	
IllegalStateTransitionException.java: org.apache.qpid.server.state	AMQException.java: org.apache.qpid	
MessageStoreClosedException.java: org.apache.qpid.server.store	AMQException.java: org.apache.qpid	
ServerConnection.java: org.apache.qpid.server.transport	Connection.java: org.apache.qpid.jms	
ServerSession.java: org.apache.qpid.server.transport	Session.java: org.apache.qpid.jms	
ServerConnectionDelegate.java: org.apache.qpid.server.transport	ServerDelegate.java: org.apache.qpid.transport	
ServerSessionDelegate.java: org.apache.qpid.server.transport	SessionDelegate.java: org.apache.qpid.transport	
Purge.java: org.apache.qpid.tools.messagestore.commands	Move.java: org.apache.qpid.tools.messagestore.commands	
Copy.java: org.apache.qpid.tools.messagestore.commands	Move.java: org.apache.qpid.tools.messagestore.commands	
Dump.java: org.apache.qpid.tools.messagestore.commands	Show.java: org.apache.qpid.tools.messagestore.commands	
BrokerOptionsTest.java: org.apache.qpid.server	QpidTestCase.java: org.apache.qpid.test.utils	
MainTest.java: org.apache.qpid.server	QpidTestCase.java: org.apache.qpid.test.utils	
AMQBrokerManagerMBeanTest.java: org.apache.qpid.server	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
AcknowledgeTest.java: org.apache.qpid.server.ack	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
ServerConfigurationTest.java: org.apache.qpid.server.configuration	QpidTestCase.java: org.apache.qpid.test.utils	
VirtualHostConfigurationTest.java: org.apache.qpid.server.configuration	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
TopicConfigurationTest.java: org.apache.qpid.server.configuration	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
ConfigurationPluginTest.java: org.apache.qpid.server.configuration.plugins	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
TopicExchangeTest.java: org.apache.qpid.server.exchange	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
AbstractHeadersExchangeTestBase.java: org.apache.qpid.server.exchange	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
HeadersExchangeTest.java: org.apache.qpid.server.exchange	AbstractHeadersExchangeTestBase.java: org.apache.qpid.server.exchange	
ExchangeMBeanTest.java: org.apache.qpid.server.exchange	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
WindowCreditManagerTest.java: org.apache.qpid.server.flow	QpidTestCase.java: org.apache.qpid.test.utils	
QueueActorTest.java: org.apache.qpid.server.logging.actors	BaseConnectionActorTestCase.java: org.apache.qpid.server.logging.actors	
BaseActorTestCase.java: org.apache.qpid.server.logging.actors	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
BaseConnectionActorTestCase.java: org.apache.qpid.server.logging.actors	BaseActorTestCase.java: org.apache.qpid.server.logging.actors	
CurrentActorTest.java: org.apache.qpid.server.logging.actors	BaseConnectionActorTestCase.java: org.apache.qpid.server.logging.actors	
AMQPConnectionActorTest.java: org.apache.qpid.server.logging.actors	BaseConnectionActorTestCase.java: org.apache.qpid.server.logging.actors	
SubscriptionActorTest.java: org.apache.qpid.server.logging.actors	BaseConnectionActorTestCase.java: org.apache.qpid.server.logging.actors	
AMQPChannelActorTest.java: org.apache.qpid.server.logging.actors	BaseConnectionActorTestCase.java: org.apache.qpid.server.logging.actors	
ManagementActorTest.java: org.apache.qpid.server.logging.actors	BaseActorTestCase.java: org.apache.qpid.server.logging.actors	
LoggingManagementMBeanTest.java: org.apache.qpid.server.logging.management	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
AbstractTestMessages.java: org.apache.qpid.server.logging.messages	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
AbstractTestLogSubject.java: org.apache.qpid.server.logging.subjects	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
ChannelLogSubjectTest.java: org.apache.qpid.server.logging.subjects	ConnectionLogSubjectTest.java: org.apache.qpid.server.logging.subjects	
AMQUserManagementMBeanTest.java: org.apache.qpid.server.management	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
OsgiSystemPackageUtilTest.java: org.apache.qpid.server.plugins	QpidTestCase.java: org.apache.qpid.test.utils	
PluginTest.java: org.apache.qpid.server.plugins	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
InternalTestProtocolSession.java: org.apache.qpid.server.protocol	AMQProtocolEngine.java: org.apache.qpid.server.protocol	
AMQProtocolSessionMBeanTest.java: org.apache.qpid.server.protocol	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
MultiVersionProtocolEngineFactoryTest.java: org.apache.qpid.server.protocol	QpidTestCase.java: org.apache.qpid.test.utils	
MaxChannelsTest.java: org.apache.qpid.server.protocol	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
QueueEntryTest.java: org.apache.qpid.server.queue	QpidTestCase.java: org.apache.qpid.test.utils	
AMQPriorityQueueTest.java: org.apache.qpid.server.queue	SimpleAMQQueueTest.java: org.apache.qpid.server.queue	
AMQQueueMBeanTest.java: org.apache.qpid.server.queue	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
MockAMQMessage.java: org.apache.qpid.server.queue	AMQMessage.java: org.apache.qpid.server.message	
AMQQueueAlertTest.java: org.apache.qpid.server.queue	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
AMQQueueFactoryTest.java: org.apache.qpid.server.queue	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
AckTest.java: org.apache.qpid.server.queue	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
SimpleAMQQueueTest.java: org.apache.qpid.server.queue	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
SimpleAMQQueueThreadPoolTest.java: org.apache.qpid.server.queue	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
ApplicationRegistryShutdownTest.java: org.apache.qpid.server.registry	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
PrincipalDatabaseAuthenticationManagerTest.java: org.apache.qpid.server.security.auth.manager	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
SignalHandlerTaskTest.java: org.apache.qpid.server.signal	QpidTestCase.java: org.apache.qpid.test.utils	
TestableMemoryMessageStore.java: org.apache.qpid.server.store	MemoryMessageStore.java: org.apache.qpid.server.store	
TestMemoryMessageStore.java: org.apache.qpid.server.store	MemoryMessageStore.java: org.apache.qpid.server.store	
MessageStoreTest.java: org.apache.qpid.server.store	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
MessageStoreShutdownTest.java: org.apache.qpid.server.store	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
ReferenceCountingTest.java: org.apache.qpid.server.store	QpidTestCase.java: org.apache.qpid.test.utils	
SubscriptionFactoryImplTest.java: org.apache.qpid.server.subscription	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
QueueBrowserUsesNoAckTest.java: org.apache.qpid.server.subscription	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
SubscriptionListTest.java: org.apache.qpid.server.subscription	QpidTestCase.java: org.apache.qpid.test.utils	
LocalTransactionTest.java: org.apache.qpid.server.txn	QpidTestCase.java: org.apache.qpid.test.utils	
AutoCommitTransactionTest.java: org.apache.qpid.server.txn	QpidTestCase.java: org.apache.qpid.test.utils	
InternalBrokerBaseCase.java: org.apache.qpid.server.util	QpidTestCase.java: org.apache.qpid.test.utils	
VirtualHostImplTest.java: org.apache.qpid.server.virtualhost	QpidTestCase.java: org.apache.qpid.test.utils	
HouseKeepingTaskTest.java: org.apache.qpid.server.virtualhost	QpidTestCase.java: org.apache.qpid.test.utils	
SlowConsumerDetectionConfigurationTest.java: org.apache.qpid.server.virtualhost.plugins	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
SlowConsumerDetectionPolicyConfigurationTest.java: org.apache.qpid.server.virtualhost.plugins	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
SlowConsumerDetectionQueueConfigurationTest.java: org.apache.qpid.server.virtualhost.plugins	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
TopicDeletePolicyConfigurationTest.java: org.apache.qpid.server.virtualhost.plugins.policies	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
TopicDeletePolicyTest.java: org.apache.qpid.server.virtualhost.plugins.policies	InternalBrokerBaseCase.java: org.apache.qpid.server.util	
Spout.java: org.apache.qpid.example	OptionParser.java: org.apache.qpid.example	
Drain.java: org.apache.qpid.example	OptionParser.java: org.apache.qpid.example	
TopicPublisher.java: org.apache.qpid.example.publisher	Publisher.java: org.apache.qpid.example.publisher	
MonitorPublisher.java: org.apache.qpid.example.publisher	Publisher.java: org.apache.qpid.example.publisher	
MonitoredSubscriber.java: org.apache.qpid.example.subscriber	Subscriber.java: org.apache.qpid.example.pubsub	
AMQNoRouteException.java: org.apache.qpid.client	AMQUndeliveredException.java: org.apache.qpid	
AMQNoConsumersException.java: org.apache.qpid.client	AMQUndeliveredException.java: org.apache.qpid	
XASessionImpl.java: org.apache.qpid.client	AMQSession_0_10.java: org.apache.qpid.client	
AMQConnectionDelegate_0_9.java: org.apache.qpid.client	AMQConnectionDelegate_8_0.java: org.apache.qpid.client	
AMQAuthenticationException.java: org.apache.qpid.client	AMQException.java: org.apache.qpid	
AMQConnectionDelegate_9_1.java: org.apache.qpid.client	AMQConnectionDelegate_8_0.java: org.apache.qpid.client	
XAConnectionImpl.java: org.apache.qpid.client	AMQConnection.java: org.apache.qpid.client	
AMQSessionDirtyException.java: org.apache.qpid.client	AMQException.java: org.apache.qpid	
AMQTemporaryQueue.java: org.apache.qpid.client	AMQQueue.java: org.apache.qpid.server.queue	
AMQTemporaryTopic.java: org.apache.qpid.client	AMQTopic.java: org.apache.qpid.client	
ClientMethodDispatcherImpl_0_9.java: org.apache.qpid.client.handler	ClientMethodDispatcherImpl.java: org.apache.qpid.client.handler	
ClientMethodDispatcherImpl_8_0.java: org.apache.qpid.client.handler	ClientMethodDispatcherImpl.java: org.apache.qpid.client.handler	
ClientMethodDispatcherImpl_0_91.java: org.apache.qpid.client.handler	ClientMethodDispatcherImpl.java: org.apache.qpid.client.handler	
ReturnMessage.java: org.apache.qpid.client.message	UnprocessedMessage_0_8.java: org.apache.qpid.client.message	
AMQPEncodedMapMessage.java: org.apache.qpid.client.message	JMSMapMessage.java: org.apache.qpid.client.message	
AMQMethodNotImplementedException.java: org.apache.qpid.client.state	AMQException.java: org.apache.qpid	
AMQNoTransportForProtocolException.java: org.apache.qpid.client.transport	AMQTransportConnectionException.java: org.apache.qpid.client.transport	
ClientConnectionDelegate.java: org.apache.qpid.client.transport	ClientDelegate.java: org.apache.qpid.transport	
AMQTransportConnectionException.java: org.apache.qpid.client.transport	AMQException.java: org.apache.qpid	
NoFailover.java: org.apache.qpid.jms.failover	FailoverSingleServer.java: org.apache.qpid.jms.failover	
MockAMQConnection.java: org.apache.qpid.client	AMQConnection.java: org.apache.qpid.client	
CallbackHandlerRegistryTest.java: org.apache.qpid.client.security	QpidTestCase.java: org.apache.qpid.test.utils	
ClassLoadingAwareObjectInputStreamTest.java: org.apache.qpid.client.util	QpidTestCase.java: org.apache.qpid.test.utils	
NoCloseOKStateManager.java: org.apache.qpid.test.unit.client.channelclose	AMQStateManager.java: org.apache.qpid.server.state	
ObjectMessageUnitTest.java: org.apache.qpid.test.unit.client.message	QpidTestCase.java: org.apache.qpid.test.utils	
AMQProtocolException.java: org.apache.qpid	AMQException.java: org.apache.qpid	
AMQStoreException.java: org.apache.qpid	AMQInternalException.java: org.apache.qpid	
AMQConnectionFailureException.java: org.apache.qpid	AMQException.java: org.apache.qpid	
AMQConnectionClosedException.java: org.apache.qpid	AMQException.java: org.apache.qpid	
AMQInvalidArgumentException.java: org.apache.qpid	AMQException.java: org.apache.qpid	
AMQConnectionException.java: org.apache.qpid	AMQException.java: org.apache.qpid	
AMQSecurityException.java: org.apache.qpid	AMQException.java: org.apache.qpid	
AMQUnresolvedAddressException.java: org.apache.qpid	AMQException.java: org.apache.qpid	
AMQInvalidRoutingKeyException.java: org.apache.qpid	AMQException.java: org.apache.qpid	
AMQInternalException.java: org.apache.qpid	AMQException.java: org.apache.qpid	
AMQDisconnectedException.java: org.apache.qpid	AMQException.java: org.apache.qpid	
AMQChannelException.java: org.apache.qpid	AMQException.java: org.apache.qpid	
AMQChannelClosedException.java: org.apache.qpid	AMQException.java: org.apache.qpid	
AMQUndeliveredException.java: org.apache.qpid	AMQException.java: org.apache.qpid	
AMQTimeoutException.java: org.apache.qpid	AMQException.java: org.apache.qpid	
AMQUnknownExchangeType.java: org.apache.qpid	AMQException.java: org.apache.qpid	
PropertyException.java: org.apache.qpid.configuration	AMQException.java: org.apache.qpid	
AMQProtocolHeaderException.java: org.apache.qpid.framing	AMQException.java: org.apache.qpid	
AMQProtocolClassException.java: org.apache.qpid.framing	AMQProtocolHeaderException.java: org.apache.qpid.framing	
AMQProtocolInstanceException.java: org.apache.qpid.framing	AMQProtocolHeaderException.java: org.apache.qpid.framing	
AMQProtocolVersionException.java: org.apache.qpid.framing	AMQProtocolHeaderException.java: org.apache.qpid.framing	
AMQFrameDecodingException.java: org.apache.qpid.framing	AMQException.java: org.apache.qpid	
AddressParser.java: org.apache.qpid.messaging.util	Parser.java: org.apache.qpid.messaging.util	
SenderException.java: org.apache.qpid.transport	TransportException.java: org.apache.qpid.transport	
SessionClosedException.java: org.apache.qpid.transport	SessionException.java: org.apache.qpid.transport	
ProtocolVersionException.java: org.apache.qpid.transport	ConnectionException.java: org.apache.qpid.example.shared	
SenderClosedException.java: org.apache.qpid.transport	SenderException.java: org.apache.qpid.transport	
SessionException.java: org.apache.qpid.transport	TransportException.java: org.apache.qpid.transport	
ProtocolViolationException.java: org.apache.qpid.transport	ConnectionException.java: org.apache.qpid.example.shared	
ConnectionException.java: org.apache.qpid.transport	TransportException.java: org.apache.qpid.transport	
SSLContextFactoryTest.java: org.apache.qpid.ssl	QpidTestCase.java: org.apache.qpid.test.utils	
ConnectionTest.java: org.apache.qpid.transport	QpidTestCase.java: org.apache.qpid.test.utils	
SessionTimeoutTest.java: org.apache.qpid.transport	QpidTestCase.java: org.apache.qpid.test.utils	
ConnectionSettingsTest.java: org.apache.qpid.transport	QpidTestCase.java: org.apache.qpid.test.utils	
TransportTest.java: org.apache.qpid.transport.network	QpidTestCase.java: org.apache.qpid.test.utils	
PropertyUtilsTest.java: org.apache.qpid.util	QpidTestCase.java: org.apache.qpid.test.utils	
InteropTestCase1DummyRun.java: org.apache.qpid.interop.testcases	FrameworkBaseCase.java: org.apache.qpid.test.framework	
InteropTestCase2BasicP2P.java: org.apache.qpid.interop.testcases	FrameworkBaseCase.java: org.apache.qpid.test.framework	
InteropTestCase5PubSubMessageSize.java: org.apache.qpid.interop.testcases	FrameworkBaseCase.java: org.apache.qpid.test.framework	
InteropTestCase4P2PMessageSize.java: org.apache.qpid.interop.testcases	FrameworkBaseCase.java: org.apache.qpid.test.framework	
InteropTestCase3BasicPubSub.java: org.apache.qpid.interop.testcases	FrameworkBaseCase.java: org.apache.qpid.test.framework	
