validateElementAndAttributes; XMLValidator.java; org.apache.xerces.validators.common;704
traverseElementDecl; TraverseSchema.java; org.apache.xerces.validators.schema;662
traverseSimpleTypeDecl; TraverseSchema.java; org.apache.xerces.validators.schema;458
traverseAttributeDecl; TraverseSchema.java; org.apache.xerces.validators.schema;442
scanContent; UTF8Reader.java; org.apache.xerces.readers;439
matchCharacterIterator; RegularExpression.java; org.apache.xerces.utils.regex;419
matchString; RegularExpression.java; org.apache.xerces.utils.regex;419
matchCharArray; RegularExpression.java; org.apache.xerces.utils.regex;414
buildDFA; DFAContentModel.java; org.apache.xerces.validators.common;397
attlistDecl; DOMParser.java; org.apache.xerces.parsers;363
traverseSimpleContentDecl; TraverseSchema.java; org.apache.xerces.validators.schema;322
parseExpression; XPath.java; org.apache.xerces.validators.schema.identity;313
AbstractNumericFacetValidator; AbstractNumericFacetValidator.java; org.apache.xerces.validators.datatype;305
elementDecl; DOMParser.java; org.apache.xerces.parsers;278
scanEntityDecl; XMLDTDScanner.java; org.apache.xerces.framework;268
scanAttlistDecl; XMLDTDScanner.java; org.apache.xerces.framework;248
dispatchEvent; NodeImpl.java; org.apache.xerces.dom;239
internalInsertBefore; ParentNode.java; org.apache.xerces.dom;235
whatCanGoHere; SimpleContentModel.java; org.apache.xerces.validators.common;233
scanContent; AbstractCharReader.java; org.apache.xerces.readers;230
importNode; DocumentImpl.java; org.apache.xerces.dom;229
AbstractStringValidator; AbstractStringValidator.java; org.apache.xerces.validators.datatype;228
doTraverseSchema; TraverseSchema.java; org.apache.xerces.validators.schema;224
internalInsertBefore; AttrImpl.java; org.apache.xerces.dom;224
processComplexContent; TraverseSchema.java; org.apache.xerces.validators.schema;221
checkContent; XMLValidator.java; org.apache.xerces.validators.common;220
validateDTDattribute; XMLValidator.java; org.apache.xerces.validators.common;218
checkParticleDerivationOK; TraverseSchema.java; org.apache.xerces.validators.schema;218
recognizeMarkup; UTF8Reader.java; org.apache.xerces.readers;209
scanContent; StreamingCharReader.java; org.apache.xerces.readers;209
scanMatchingName; UTF8Reader.java; org.apache.xerces.readers;209
validateContent; SimpleContentModel.java; org.apache.xerces.validators.common;208
scanXMLDeclOrTextDecl; XMLDocumentScanner.java; org.apache.xerces.framework;206
callEndElement; XMLValidator.java; org.apache.xerces.validators.common;197
setFeature; XMLParser.java; org.apache.xerces.framework;192
scanDecls; XMLDTDScanner.java; org.apache.xerces.framework;191
getRange; Token.java; org.apache.xerces.utils.regex;190
initialize; URI.java; org.apache.xerces.utils;187
traverseComplexTypeDecl; TraverseSchema.java; org.apache.xerces.validators.schema;184
validate; GeneralAttrCheck.java; org.apache.xerces.validators.schema;184
lookingAtValidChar; UTF8Reader.java; org.apache.xerces.readers;183
scanContent; UCSReader.java; org.apache.xerces.readers;182
bindNamespacesToElementAndAttributes; XMLValidator.java; org.apache.xerces.validators.common;182
startElement; XPathMatcher.java; org.apache.xerces.validators.schema.identity;180
fillCurrentChunk; CharReader.java; org.apache.xerces.readers;176
validateContent; DFAContentModel.java; org.apache.xerces.validators.common;174
fillCurrentChunk; UTF8CharReader.java; org.apache.xerces.readers;171
matches; RegularExpression.java; org.apache.xerces.utils.regex;171
matches; RegularExpression.java; org.apache.xerces.utils.regex;170
matches; RegularExpression.java; org.apache.xerces.utils.regex;170
startElement; HTMLSerializer.java; org.apache.xml.serialize;169
getNodeObject; DeferredDocumentImpl.java; org.apache.xerces.dom;168
toString; XMLContentSpec.java; org.apache.xerces.framework;167
compile; RegularExpression.java; org.apache.xerces.utils.regex;157
startElement; DOMParser.java; org.apache.xerces.parsers;156
getFeature; XMLParser.java; org.apache.xerces.framework;156
createChildren; DOMParser.java; org.apache.xerces.parsers;154
expandRegistryToFullSchemaSet; DatatypeValidatorFactoryImpl.java; org.apache.xerces.validators.datatype;153
processAttributes; TraverseSchema.java; org.apache.xerces.validators.schema;153
createChildModel; Grammar.java; org.apache.xerces.validators.common;153
serializeNode; BaseMarkupSerializer.java; org.apache.xml.serialize;152
appendContentSpec; XMLContentSpec.java; org.apache.xerces.framework;150
addDTDDefaultAttributes; XMLValidator.java; org.apache.xerces.validators.common;150
startElement; XMLSerializer.java; org.apache.xml.serialize;150
serializeElement; HTMLSerializer.java; org.apache.xml.serialize;149
internalRemoveChild; ParentNode.java; org.apache.xerces.dom;148
traverseRedefine; TraverseSchema.java; org.apache.xerces.validators.schema;147
parseCharacterClass_old; RegexParser.java; org.apache.xerces.utils.regex;147
scanContent; StringReader.java; org.apache.xerces.readers;145
scanExpectedName; UTF8Reader.java; org.apache.xerces.readers;144
scanEntityValue; UTF8Reader.java; org.apache.xerces.readers;143
toString; UTF8DataChunk.java; org.apache.xerces.utils;143
validateContent; MixedContentModel.java; org.apache.xerces.validators.common;141
handlePartialMultiByteChar; UTF8CharReader.java; org.apache.xerces.readers;140
whatCanGoHere; DFAContentModel.java; org.apache.xerces.validators.common;140
getElementNameFor; TraverseSchema.java; org.apache.xerces.validators.schema;139
traverseGroupDecl; TraverseSchema.java; org.apache.xerces.validators.schema;138
traverseComplexContentDecl; TraverseSchema.java; org.apache.xerces.validators.schema;138
validateContentSpecial; SimpleContentModel.java; org.apache.xerces.validators.common;138
addDefaultAttributes; XMLValidator.java; org.apache.xerces.validators.common;138
scanAttValue; XMLDocumentScanner.java; org.apache.xerces.framework;136
validateRedefineNameChange; TraverseSchema.java; org.apache.xerces.validators.schema;136
scanTextDecl; XMLDTDScanner.java; org.apache.xerces.framework;136
internalRemoveChild; AttrImpl.java; org.apache.xerces.dom;134
callStartElement; XMLValidator.java; org.apache.xerces.validators.common;134
isEquivalentTo; SubstitutionGroupComparator.java; org.apache.xerces.validators.schema;132
parseCharacterClass; ParserForXMLSchema.java; org.apache.xerces.utils.regex;131
checkContentEnum; ListDatatypeValidator.java; org.apache.xerces.validators.datatype;130
scanDefaultAttValue; XMLDTDScanner.java; org.apache.xerces.framework;129
analyzeFirstCharacter; Token.java; org.apache.xerces.utils.regex;126
next; RegexParser.java; org.apache.xerces.utils.regex;125
startReadingFromExternalEntity; DefaultEntityHandler.java; org.apache.xerces.readers;122
scanComplexEntityValue; XMLDTDScanner.java; org.apache.xerces.framework;122
parseCharacterClass; RegexParser.java; org.apache.xerces.utils.regex;121
scanName; UTF8Reader.java; org.apache.xerces.readers;121
parse; DurationDatatypeValidator.java; org.apache.xerces.validators.datatype;121
openRedefinedSchema; TraverseSchema.java; org.apache.xerces.validators.schema;119
startElement; HTMLSerializer.java; org.apache.xml.serialize;118
whatCanGoHere; AllContentModel.java; org.apache.xerces.validators.common;118
createChildren; DOMParser.java; org.apache.xerces.parsers;115
print; DeferredDocumentImpl.java; org.apache.xerces.dom;115
setFeature; DOMParser.java; org.apache.xerces.parsers;114
scanElementDecl; XMLDTDScanner.java; org.apache.xerces.framework;114
normalizeDefaultAttValue; XMLDTDScanner.java; org.apache.xerces.framework;113
addSymbolToCache; SymbolCache.java; org.apache.xerces.utils;113
endOfInput; XMLDTDScanner.java; org.apache.xerces.framework;113
validateContentSpecial; DFAContentModel.java; org.apache.xerces.validators.common;113
compareBoundaryPoints; RangeImpl.java; org.apache.xerces.dom;112
dumpTree; DFAContentModel.java; org.apache.xerces.validators.common;112
validateContentSpecial; AllContentModel.java; org.apache.xerces.validators.common;112
serializeElement; XMLSerializer.java; org.apache.xml.serialize;112
validateContent; AllContentModel.java; org.apache.xerces.validators.common;112
setDeclHandler; SAXParser.java; org.apache.xerces.parsers;112
traverseIncludedSchema; TraverseSchema.java; org.apache.xerces.validators.schema;111
traverseAttributeGroupDecl; TraverseSchema.java; org.apache.xerces.validators.schema;108
scanQName; AbstractCharReader.java; org.apache.xerces.readers;108
traverseContents; RangeImpl.java; org.apache.xerces.dom;108
scanQName; UTF8Reader.java; org.apache.xerces.readers;107
checkSubstitutionGroupOK; TraverseSchema.java; org.apache.xerces.validators.schema;105
