normalize: ConvertToURI.java: javax.xml.parsers
XMLErrorReporter: XMLErrorReporter.java: org.apache.xerces.impl
setInputSource: XMLVersionDetector.java: org.apache.xerces.impl
SAXParseException: SAXParseException.java: org.xml.sax
resolveEntity: HandlerBase.java: org.xml.sax
notationDecl: HandlerBase.java: org.xml.sax
warning: HandlerBase.java: org.xml.sax
getFeature: XMLReader.java: org.xml.sax
setEntityResolver: XMLReader.java: org.xml.sax
parse: XMLReader.java: org.xml.sax
resolveEntity: DefaultHandler.java: org.xml.sax.helpers
notationDecl: DefaultHandler.java: org.xml.sax.helpers
warning: DefaultHandler.java: org.xml.sax.helpers
ParserAdapter: ParserAdapter.java: org.xml.sax.helpers
setupParser: ParserAdapter.java: org.xml.sax.helpers
ensureCapacity: AttributesImpl.java: org.xml.sax.helpers
setParent: XMLFilterImpl.java: org.xml.sax.helpers
setFeature: XMLFilterImpl.java: org.xml.sax.helpers
resolveEntity: XMLFilterImpl.java: org.xml.sax.helpers
notationDecl: XMLFilterImpl.java: org.xml.sax.helpers
setupParse: XMLFilterImpl.java: org.xml.sax.helpers
declarePrefix: NamespaceSupport.java: org.xml.sax.helpers
setAttributeList: AttributeListImpl.java: org.xml.sax.helpers
