addDocumentationTag; Modeller.java; org.argouml.uml.reveng.java;337
main; Main.java; org.argouml.application;316
nextToken; JavaLexer.java; org.argouml.language.java.generator;295
nextToken; JavaLexer.java; org.argouml.uml.reveng.java;295
postfixExpression; JavaRecognizer.java; org.argouml.language.java.generator;295
layout; ClassdiagramLayouter.java; org.argouml.uml.diagram.static_structure.layout;261
mNUM_INT; JavaLexer.java; org.argouml.language.java.generator;253
statement; JavaRecognizer.java; org.argouml.uml.reveng.java;253
mNUM_INT; JavaLexer.java; org.argouml.uml.reveng.java;253
postfixExpression; JavaRecognizer.java; org.argouml.uml.reveng.java;239
newExpression; JavaRecognizer.java; org.argouml.language.java.generator;236
initMenus; ProjectBrowser.java; org.argouml.ui;234
field; JavaRecognizer.java; org.argouml.language.java.generator;231
addAttribute; Modeller.java; org.argouml.uml.reveng.java;219
modifier; JavaRecognizer.java; org.argouml.language.java.generator;214
newExpression; JavaRecognizer.java; org.argouml.uml.reveng.java;202
CriticBrowserDialog; CriticBrowserDialog.java; org.argouml.cognitive.critics.ui;196
getFigEdgeFor; UseCaseDiagramRenderer.java; org.argouml.uml.diagram.use_case.ui;194
FigPackage; FigPackage.java; org.argouml.uml.diagram.static_structure.ui;193
assignmentExpression; JavaRecognizer.java; org.argouml.language.java.generator;177
addOperation; Modeller.java; org.argouml.uml.reveng.java;176
primaryExpression; JavaRecognizer.java; org.argouml.language.java.generator;174
connect; DeploymentDiagramGraphModel.java; org.argouml.uml.diagram.deployment;174
connect; ClassDiagramGraphModel.java; org.argouml.uml.diagram.static_structure;170
init; Init.java; org.argouml.uml.cognitive.critics;168
targetChanged; UMLComboBoxModel.java; org.argouml.uml.ui;165
builtInType; JavaRecognizer.java; org.argouml.language.java.generator;160
