traverse; CodeAttribute.java; org.eclipse.jdt.internal.core.util;999
consumeRule; Parser.java; org.eclipse.jdt.internal.compiler.parser;890
format; CodeFormatter.java; org.eclipse.jdt.internal.formatter;642
configure; Main.java; org.eclipse.jdt.internal.compiler.batch;640
scanIdentifierOrKeyword; Scanner.java; org.eclipse.jdt.internal.compiler.parser;565
getNextToken; CompletionScanner.java; org.eclipse.jdt.internal.codeassist.complete;531
generateCode; BinaryExpression.java; org.eclipse.jdt.internal.compiler.ast;526
getNextToken; Scanner.java; org.eclipse.jdt.internal.compiler.parser;509
split; CodeFormatter.java; org.eclipse.jdt.internal.formatter;499
checkAndReportBracketAnomalies; Parser.java; org.eclipse.jdt.internal.compiler.parser;330
complete; CompletionEngine.java; org.eclipse.jdt.internal.codeassist;326
consumeToken; Parser.java; org.eclipse.jdt.internal.compiler.parser;306
getDefaultOptions; JavaCore.java; org.eclipse.jdt.core;298
CompilerOptions; CompilerOptions.java; org.eclipse.jdt.internal.compiler.impl;292
createMethodPattern; SearchPattern.java; org.eclipse.jdt.internal.core.search.matching;274
createPattern; SearchPattern.java; org.eclipse.jdt.internal.core.search.matching;271
jumpOverMethodBody; Scanner.java; org.eclipse.jdt.internal.compiler.parser;269
completeCodeAttribute; ClassFile.java; org.eclipse.jdt.internal.compiler;268
completeCodeAttributeForProblemMethod; ClassFile.java; org.eclipse.jdt.internal.compiler;247
completeCodeAttributeForClinit; ClassFile.java; org.eclipse.jdt.internal.compiler;247
indexOfWellKnownMethodNameAndType; CodeSnippetConstantPool.java; org.eclipse.jdt.internal.eval;241
literalIndexJavaLangReflectFieldSetter; CodeSnippetConstantPool.java; org.eclipse.jdt.internal.eval;233
literalIndexJavaLangReflectFieldGetter; CodeSnippetConstantPool.java; org.eclipse.jdt.internal.eval;233
outputLine; CodeFormatter.java; org.eclipse.jdt.internal.formatter;232
indexOfWellKnownMethods; CodeSnippetConstantPool.java; org.eclipse.jdt.internal.eval;221
MethodVerifier; MethodVerifier.java; org.eclipse.jdt.internal.compiler.lookup;219
ClassFileReader; ClassFileReader.java; org.eclipse.jdt.internal.core.util;219
generateCode; TryStatement.java; org.eclipse.jdt.internal.compiler.ast;213
createFieldPattern; SearchPattern.java; org.eclipse.jdt.internal.core.search.matching;212
toStringAction; Scanner.java; org.eclipse.jdt.internal.compiler.parser;212
literalIndexForJavaLangStringBufferAppend; ConstantPool.java; org.eclipse.jdt.internal.compiler.codegen;210
get_EQUAL_EQUAL; OperatorExpression.java; org.eclipse.jdt.internal.compiler.ast;201
castTo; Constant.java; org.eclipse.jdt.internal.compiler.impl;196
get_AND; OperatorExpression.java; org.eclipse.jdt.internal.compiler.ast;193
get_LESS; OperatorExpression.java; org.eclipse.jdt.internal.compiler.ast;193
get_LEFT_SHIFT; OperatorExpression.java; org.eclipse.jdt.internal.compiler.ast;193
get_PLUS; OperatorExpression.java; org.eclipse.jdt.internal.compiler.ast;193
get_AND_AND; OperatorExpression.java; org.eclipse.jdt.internal.compiler.ast;192
createConstructorPattern; SearchPattern.java; org.eclipse.jdt.internal.core.search.matching;191
literalIndexForJavaLangAssertionErrorConstructor; ConstantPool.java; org.eclipse.jdt.internal.compiler.codegen;186
getBinding; BlockScope.java; org.eclipse.jdt.internal.compiler.lookup;185
traverseDelta; DeltaProcessor.java; org.eclipse.jdt.internal.core;183
write; State.java; org.eclipse.jdt.internal.core.builder;180
getImplicitMethod; BlockScope.java; org.eclipse.jdt.internal.compiler.lookup;178
literalIndexForJavaLangStringValueOf; ConstantPool.java; org.eclipse.jdt.internal.compiler.codegen;178
toCharArray; Signature.java; org.eclipse.jdt.core;177
computeSeverity; ProblemReporter.java; org.eclipse.jdt.internal.compiler.problem;176
toString; SplitLine.java; org.eclipse.jdt.internal.formatter.impl;175
ClassFileReader; ClassFileReader.java; org.eclipse.jdt.internal.compiler.classfmt;174
generateOptimizedBoolean; AND_AND_Expression.java; org.eclipse.jdt.internal.compiler.ast;169
completeCodeAttributeForSyntheticAccessMethod; ClassFile.java; org.eclipse.jdt.internal.compiler;168
indexOfWellKnownMethodNameAndType; ConstantPool.java; org.eclipse.jdt.internal.compiler.codegen;167
ldc; CodeStream.java; org.eclipse.jdt.internal.compiler.codegen;166
addAttributes; ClassFile.java; org.eclipse.jdt.internal.compiler;165
generateOptimizedBoolean; OR_OR_Expression.java; org.eclipse.jdt.internal.compiler.ast;164
toString; CompilerOptions.java; org.eclipse.jdt.internal.compiler.impl;163
locateMatches; MatchLocator.java; org.eclipse.jdt.internal.core.search.matching;162
