CategorizedProblem.java; org.eclipse.jdt.core.compiler
IBinding.java; org.eclipse.jdt.core.dom
ICodeSnippetRequestor.java; org.eclipse.jdt.core.eval
CodeFormatter.java; org.eclipse.jdt.core.formatter
IDOMNode.java; org.eclipse.jdt.core.jdom
ClassFileBytesDisassembler.java; org.eclipse.jdt.core.util
IVerificationTypeInfo.java; org.eclipse.jdt.core.util
CompletionScanner.java; org.eclipse.jdt.internal.codeassist.complete
AssistOptions.java; org.eclipse.jdt.internal.codeassist.impl
BranchLabel.java; org.eclipse.jdt.internal.compiler.codegen
Opcodes.java; org.eclipse.jdt.internal.compiler.codegen
InitializationFlowContext.java; org.eclipse.jdt.internal.compiler.flow
FlowInfo.java; org.eclipse.jdt.internal.compiler.flow
UnconditionalFlowInfo.java; org.eclipse.jdt.internal.compiler.flow
CompilerOptions.java; org.eclipse.jdt.internal.compiler.impl
ProblemHandler.java; org.eclipse.jdt.internal.compiler.problem
SimpleLookupTable.java; org.eclipse.jdt.internal.compiler.util
SuffixConstants.java; org.eclipse.jdt.internal.compiler.util
RewriteEvent.java; org.eclipse.jdt.internal.core.dom.rewrite
HierarchyType.java; org.eclipse.jdt.internal.core.hierarchy
RecordedParsingInformation.java; org.eclipse.jdt.internal.core.util
EvaluationConstants.java; org.eclipse.jdt.internal.eval
DefaultCodeFormatterOptions.java; org.eclipse.jdt.internal.formatter
Alignment2.java; org.eclipse.jdt.internal.formatter.align
Alignment.java; org.eclipse.jdt.internal.formatter.align
ICommentAttributes.java; org.eclipse.jdt.internal.formatter.comment
IJavaDocTagConstants.java; org.eclipse.jdt.internal.formatter.comment
