JDTCompilerAdapter.java; org.eclipse.jdt.core
TypeBinding.java; org.eclipse.jdt.core.dom
ASTParser.java; org.eclipse.jdt.core.dom
InternalCompletionProposal.java; org.eclipse.jdt.internal.codeassist
CompletionScanner.java; org.eclipse.jdt.internal.codeassist.complete
CompletionParser.java; org.eclipse.jdt.internal.codeassist.complete
AssistParser.java; org.eclipse.jdt.internal.codeassist.impl
ClassFile.java; org.eclipse.jdt.internal.compiler
DocumentElementParser.java; org.eclipse.jdt.internal.compiler
OperatorExpression.java; org.eclipse.jdt.internal.compiler.ast
CompilationUnitDeclaration.java; org.eclipse.jdt.internal.compiler.ast
TypeDeclaration.java; org.eclipse.jdt.internal.compiler.ast
CompilerOptions.java; org.eclipse.jdt.internal.compiler.impl
SetVariablesOperation.java; org.eclipse.jdt.internal.core
SetContainerOperation.java; org.eclipse.jdt.internal.core
BinaryMethod.java; org.eclipse.jdt.internal.core
ClasspathEntry.java; org.eclipse.jdt.internal.core
JavaModelManager.java; org.eclipse.jdt.internal.core
JavaModelStatus.java; org.eclipse.jdt.internal.core
BinaryIndexer.java; org.eclipse.jdt.internal.core.search.indexing
JobManager.java; org.eclipse.jdt.internal.core.search.processing
PublicScanner.java; org.eclipse.jdt.internal.core.util
DefaultCodeFormatterOptions.java; org.eclipse.jdt.internal.formatter
Scribe.java; org.eclipse.jdt.internal.formatter
