JDBCEJBQLCompiler.java; org.jboss.ejb.plugins.cmp.jdbc; 1950;
JDBCCMRFieldBridge2.java; org.jboss.ejb.plugins.cmp.jdbc2.bridge; 1832;
JBossCacheManager.java; org.jboss.web.tomcat.service.session; 2194;
EntityTable.java; org.jboss.ejb.plugins.cmp.jdbc2.schema; 1891;
NamingContext.java; org.jnp.interfaces; 1715;
PersistenceManager.java; org.jboss.mq.pm.jdbc2; 1958;
EJBQLToSQL92Compiler.java; org.jboss.ejb.plugins.cmp.jdbc; 1638;
ClusterPartition.java; org.jboss.ha.framework.server; 1954;
MBeanServerImpl.java; org.jboss.mx.server; 1749;
JDBCCMRFieldBridge.java; org.jboss.ejb.plugins.cmp.jdbc.bridge; 2389;
